Site,Constituent,c_nounits,STORET,Units,Date Range,Count,Methods,Nr. Non-Detects,Detection Rate,DateOfMax,Min,25th %ile,Mean,Median,75th %ile,Max,DL min,DL max,mann-kendall stats,trend,s,p,slope,intercept,Action,Notes
100832,Hexavalent Chromium (Cr VI) (ug/L),Hexavalent Chromium (Cr VI),1032,ug/L,2013-2022,60,['218.6' 'EPA 218.6'],0,100.0,2014-10-28,0.13,0.23,0.38249999999999984,0.35,0.48,0.8,0.02,0.02,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.020862962327153012, z=-2.3104552676969936, Tau=-0.20508474576271185, s=-363.0, var_s=24548.333333333332, slope=-0.0033333333333333353, intercept=0.44833333333333336)",decreasing,-363.0,0.020862962327153012,-0.0033333333333333353,0.44833333333333336,TO REVIEW,Pending statistical analysis
100832,Iron (mg/L),Iron,1045,mg/L,2013-2022,60,['200.7 Rev 4.4' 'EPA 200.7'],43,28.33333333333333,2021-06-15,0.01,0.0,0.04447999999999955,0.0,0.022,0.96,0.01,0.02,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.005381781231346361, z=-2.783247031529794, Tau=-0.22259887005649717, s=-394.0, var_s=19938.0, slope=0.0, intercept=0.02)",decreasing,-394.0,0.005381781231346361,0.0,0.02,TO REVIEW,Pending statistical analysis
100832,Lab pH (Units),Lab pH,403,Units,2013-2022,12,['SM4500-HB'],0,100.0,2021-04-13,7.3,7.5,7.616666666666666,7.6,7.7,7.9,0.1,0.1,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0170459400812486, z=2.3857153289238053, Tau=0.5151515151515151, s=34.0, var_s=191.33333333333334, slope=0.025000000000000022, intercept=7.5125)",increasing,34.0,0.0170459400812486,0.025000000000000022,7.5125,TO REVIEW,Pending statistical analysis
100832,Lab Turbidity (NTU),Lab Turbidity,82079,NTU,2018-2022,14,['180.1' 'EPA 180.1'],1,92.85714285714286,2022-02-14,0.14,0.37,1.331785714285713,0.62,1.8,7.1,0.1,1.0,"Mann_Kendall_Test(trend='increasing', h=True, p=0.018395197737625768, z=2.3575657429783226, Tau=0.4835164835164835, s=44.0, var_s=332.6666666666667, slope=0.13142857142857145, intercept=-0.1742857142857145)",increasing,44.0,0.018395197737625768,0.13142857142857145,-0.1742857142857145,TO REVIEW,Pending statistical analysis
100832,Magnesium (mg/L),Magnesium,927,mg/L,2013-2022,60,['200.7 Rev 4.4' 'EPA 200.7'],0,100.0,2014-12-17,3.0,10.0,13.869999999999997,15.0,19.0,22.0,0.1,0.1,"Mann_Kendall_Test(trend='decreasing', h=True, p=3.3908133234561433e-07, z=-5.1003190965832435, Tau=-0.45084745762711864, s=-798.0, var_s=24418.666666666668, slope=-0.1945195195195195, intercept=20.738325825825825)",decreasing,-798.0,3.3908133234561433e-07,-0.1945195195195195,20.738325825825825,TO REVIEW,Pending statistical analysis
100832,Manganese (ug/L),Manganese,1055,ug/L,2013-2022,60,['200.8' 'EPA 200.8'],33,44.99999999999999,2016-08-01,2.0,0.0,12.122649572649536,0.0,5.0,120.0,2.0,4.0,"Mann_Kendall_Test(trend='no trend', h=False, p=0.20670357512923965, z=-1.2626817504349923, Tau=-0.10338983050847457, s=-183.0, var_s=20775.666666666668, slope=0.0, intercept=2.0)",no trend,-183.0,0.20670357512923965,0.0,2.0,TO REVIEW,Pending statistical analysis
100832,Methylene Chloride (ug/L),Methylene Chloride,34423,ug/L,2013-2022,60,['524.2' 'EPA 524.2' 'EPA 624'],50,16.666666666666657,2018-06-08,0.5,0.0,0.11533333333333308,0.0,0.0,0.9,0.5,0.5,"Mann_Kendall_Test(trend='no trend', h=False, p=0.4477652879953462, z=0.7591458939729078, Tau=0.04406779661016949, s=78.0, var_s=10288.0, slope=0.0, intercept=0.5)",no trend,78.0,0.4477652879953462,0.0,0.5,TO REVIEW,Pending statistical analysis
100832,N-Nitrosodimethylamine (NDMA) (ng/L),N-Nitrosodimethylamine (NDMA),34438,ng/L,2013-2022,57,['EPA 521'],51,10.526315789473685,2016-10-12,2.0,0.0,0.46618507051943553,0.0,0.0,7.1,2.0,2.4,"Mann_Kendall_Test(trend='increasing', h=True, p=0.022730483153974523, z=2.2779344535722443, Tau=0.16416040100250626, s=262.0, var_s=13128.0, slope=0.0, intercept=2.0)",increasing,262.0,0.022730483153974523,0.0,2.0,TO REVIEW,Pending statistical analysis
100832,Nickel (ug/L),Nickel,1067,ug/L,2013-2022,60,['200.8' 'EPA 200.8'],36,40.0,2022-08-10,5.0,0.0,2.9454310344827532,0.0,6.8,10.0,5.0,10.0,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0018947970340024156, z=3.106244922919188, Tau=0.24632768361581922, s=436.0, var_s=19611.333333333332, slope=0.0, intercept=5.0)",increasing,436.0,0.0018947970340024156,0.0,5.0,TO REVIEW,Pending statistical analysis
100832,Nitrate (as N) (mg/L),Nitrate (as N),620,mg/L,2013-2022,60,['300' 'EPA 300.0'],0,100.0,2018-02-07,0.86,2.7,4.674333333333333,4.4,6.7,8.4,0.1,1.0,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.0010342627391464188, z=-3.2810367320942087, Tau=-0.2909604519774011, s=-515.0, var_s=24541.666666666668, slope=-0.049999999999999996, intercept=5.925)",decreasing,-515.0,0.0010342627391464188,-0.049999999999999996,5.925,TO REVIEW,Pending statistical analysis
100832,Nitrate (as NO3) (mg/L),Nitrate (as NO3),71850,mg/L,2020-2022,10,['EPA 300.0'],0,100.0,2022-02-14,5.7,8.5,12.560000000000002,13.0,18.0,21.0,0.44,1.1,"Mann_Kendall_Test(trend='no trend', h=False, p=0.3232363233247706, z=0.987829161147262, Tau=0.26666666666666666, s=12.0, var_s=124.0, slope=0.8625, intercept=7.31875)",no trend,12.0,0.3232363233247706,0.8625,7.31875,TO REVIEW,Pending statistical analysis
100832,Odor (TON),Odor,86,TON,2015-2022,16,['SM 2150B'],10,37.5,2022-04-07,1.0,0.0,0.7499999999999996,0.0,2.0,2.0,1.0,1.0,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.01970056376877749, z=-2.3320024215505537, Tau=-0.36666666666666664, s=-44.0, var_s=340.0, slope=0.0, intercept=1.0)",decreasing,-44.0,0.01970056376877749,0.0,1.0,TO REVIEW,Pending statistical analysis
100832,"Organic Nitrogen, Calculated (mg/L)","Organic Nitrogen, Calculated",605,mg/L,2013-2022,59,"['Nitrogen,Org' 'EPA 351.2']",37,37.28813559322034,2020-10-14,0.03,0.0,7.5584745762714105,0.0,0.24,440.0,0.03,0.2,"Mann_Kendall_Test(trend='no trend', h=False, p=0.5508189471013667, z=0.5965334013878562, Tau=0.04734073641145529, s=81.0, var_s=17985.0, slope=0.0, intercept=0.2)",no trend,81.0,0.5508189471013667,0.0,0.2,TO REVIEW,Pending statistical analysis
100832,Perchlorate (ug/L),Perchlorate,A-031,ug/L,2013-2022,61,['331' '314' 'EPA 331.0' 'EPA 314.0'],52,14.754098360655746,2021-04-13,0.5,0.0,1.1446032017440764,0.0,2.4,8.4,0.5,8.0,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.00020393015942543613, z=-3.714097505915391, Tau=-0.26721311475409837, s=-489.0, var_s=17263.666666666668, slope=0.0, intercept=4.0)",decreasing,-489.0,0.00020393015942543613,0.0,4.0,TO REVIEW,Pending statistical analysis
100832,PFBS (ng/L),PFBS,C2801,ng/L,2019-2019,4,"['EPA 537 Ver 1.1,mod']",0,100.0,2019-08-14,2.6,2.6,6.475,5.6,5.7,12.0,0.86,1.8,"Mann_Kendall_Test(trend='no trend', h=False, p=0.3081795474670539, z=-1.0190493307301363, Tau=-0.6666666666666666, s=-4.0, var_s=8.666666666666666, slope=-2.0166666666666666, intercept=8.675)",no trend,-4.0,0.3081795474670539,-2.0166666666666666,8.675,TO REVIEW,Pending statistical analysis
100832,PFHxA (ng/L),PFHxA,C2811,ng/L,2019-2019,4,"['EPA 537 Ver 1.1,mod']",0,100.0,2019-08-14,6.6,6.6,19.65,11.0,21.0,40.0,1.7,1.8,"Mann_Kendall_Test(trend='no trend', h=False, p=0.7340951823194757, z=-0.3396831102433787, Tau=-0.3333333333333333, s=-2.0, var_s=8.666666666666666, slope=-7.933333333333334, intercept=27.9)",no trend,-2.0,0.7340951823194757,-7.933333333333334,27.9,TO REVIEW,Pending statistical analysis
100832,PFOA (ng/L),PFOA,C2806,ng/L,2019-2022,6,"['537.1' 'EPA 537 Ver 1.1,mod']",0,100.0,2019-04-11,3.4,4.7,6.366666666666666,5.0,8.4,9.6,0.86,2.0,"Mann_Kendall_Test(trend='no trend', h=False, p=0.060289173990602185, z=-1.8786728732554487, Tau=-0.7333333333333333, s=-11.0, var_s=28.333333333333332, slope=-1.1333333333333335, intercept=8.883333333333333)",no trend,-11.0,0.060289173990602185,-1.1333333333333335,8.883333333333333,TO REVIEW,Pending statistical analysis
100832,PFOA (ug/L),PFOA,C2806,ug/L,2020-2022,13,['EPA 537.1'],4,69.23076923076923,2020-02-12,0.002,0.0,0.0027307692307692306,0.0027,0.004,0.0064,0.002,0.002,"Mann_Kendall_Test(trend='no trend', h=False, p=0.19279173926228488, z=1.302364713186689, Tau=0.28205128205128205, s=22.0, var_s=260.0, slope=0.0001775, intercept=0.0016350000000000002)",no trend,22.0,0.19279173926228488,0.0001775,0.0016350000000000002,TO REVIEW,Pending statistical analysis
100832,PFOS (ng/L),PFOS,C2805,ng/L,2019-2022,6,"['537.1' 'EPA 537 Ver 1.1,mod']",0,100.0,2019-10-18,2.9,5.4,8.15,5.9,9.0,19.0,1.7,2.0,"Mann_Kendall_Test(trend='no trend', h=False, p=0.4523703606773608, z=-0.7514691493021795, Tau=-0.3333333333333333, s=-5.0, var_s=28.333333333333332, slope=-0.6199999999999999, intercept=7.8500000000000005)",no trend,-5.0,0.4523703606773608,-0.6199999999999999,7.8500000000000005,TO REVIEW,Pending statistical analysis
100832,PFOS (ug/L),PFOS,C2805,ug/L,2020-2022,13,['EPA 537.1'],7,46.15384615384615,2020-02-12,0.002,0.0,0.002107692307692307,0.0,0.0027,0.0084,0.002,0.002,"Mann_Kendall_Test(trend='no trend', h=False, p=0.10907256587341752, z=-1.6023756509000395, Tau=-0.32051282051282054, s=-25.0, var_s=224.33333333333334, slope=-4.6428571428571416e-05, intercept=0.0022785714285714284)",no trend,-25.0,0.10907256587341752,-4.6428571428571416e-05,0.0022785714285714284,TO REVIEW,Pending statistical analysis
100832,PFPeA (ng/L),PFPeA,WRD224,ng/L,2019-2019,4,"['EPA 537 Ver 1.1,mod']",0,100.0,2019-08-14,8.2,8.2,23.049999999999997,10.0,29.0,45.0,1.7,5.2,"Mann_Kendall_Test(trend='no trend', h=False, p=0.7340951823194757, z=-0.3396831102433787, Tau=-0.3333333333333333, s=-2.0, var_s=8.666666666666666, slope=-8.3, intercept=31.950000000000003)",no trend,-2.0,0.7340951823194757,-8.3,31.950000000000003,TO REVIEW,Pending statistical analysis
100832,pH of CaCO3 Saturation (@25C) (Units),pH of CaCO3 Saturation (@25C),J-006,Units,2020-2022,10,['SM 2330B'],0,100.0,2021-08-12,7.6,7.8,8.07,8.1,8.3,8.4,0.1,0.1,"Mann_Kendall_Test(trend='no trend', h=False, p=0.65078009763053, z=-0.45267873021259264, Tau=-0.13333333333333333, s=-6.0, var_s=122.0, slope=-0.02499999999999991, intercept=8.212499999999999)",no trend,-6.0,0.65078009763053,-0.02499999999999991,8.212499999999999,TO REVIEW,Pending statistical analysis
100832,pH of CaCO3 Saturation (@60C) (Units),pH of CaCO3 Saturation (@60C),J-007,Units,2020-2022,10,['SM 2330B'],0,100.0,2021-10-06,7.1,7.3,7.6,7.6,7.9,7.9,0.1,0.1,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=116.66666666666667, slope=0.0, intercept=7.6)",no trend,0.0,1.0,0.0,7.6,TO REVIEW,Pending statistical analysis
