WRD_ID,Common_Name,CONSTITUENT STANDARDIZED,SAMP_DATE,SAMP_TIME,STORET,METHOD,FLAG,VALUE,TXT_VALUE,DL,MDL,UNITS,LAB_ID,SAMP_ID,REPORT_ID,PROCESSED_DATE
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2019-07-29,09:00:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,201906040019,808494,2019-10-30
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2019-09-18,10:10:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,201908060001,819615,2019-10-30
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2019-10-16,08:45:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,201909030001,824867,2019-11-15
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2019-11-13,08:25:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,201911130382,838473,2019-12-23
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2019-12-11,08:50:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,201911050001,836696,2020-01-22
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2020-01-08,08:15:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202001080318,847856,2020-02-20
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2020-01-22,09:30:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202001220418,850540,2020-03-11
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2020-02-12,08:15:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202002120428,854510,2020-03-11
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2020-03-11,10:05:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202003110155,859717,2020-05-19
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2020-04-15,09:05:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202004150400,865877,2020-06-25
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2020-05-06,10:50:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202005060371,869524,2020-06-05
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2020-06-10,09:00:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202006100534,875726,2020-07-16
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2020-07-22,09:45:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202007220382,883030,2020-08-30
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2020-08-12,09:10:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202008120398,886767,2020-09-17
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2020-09-02,09:45:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202009020445,890656,2020-10-01
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2020-10-07,08:50:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202010070524,896857,2020-11-17
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2020-11-04,09:00:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202011040727A,901894,2020-12-01
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2020-12-09,08:30:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202012090280,907648,2021-01-25
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2021-01-13,08:40:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202101130654,912922,2021-02-10
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2021-02-03,09:35:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202102030516,916754,2021-04-29
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2021-03-10,08:55:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202103100486,923150,2021-05-13
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2021-04-07,09:25:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202104080064,927868,2021-05-20
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2021-05-05,09:40:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202105050868,933184,2021-06-10
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2021-06-02,10:05:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202106020609,938599,2021-07-06
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2021-07-07,09:30:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202107071156,944586,2021-09-14
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2021-08-04,09:15:00,39390,EPA 505,<,0.01,ND,0.01,0.0050,ug/L,9590,202108040768,950459,2021-09-08
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2021-09-08,09:30:00,39390,EPA 505,<,0.01,ND,0.01,"0.0050",ug/L,9590,202109080639,956995,2021-10-13
570088,GRIP-AWTF Finished Water to Spreading Ground,Endrin,2021-10-07,09:25:00,39390,EPA 505,<,0.01,ND,0.01,"0.0050",ug/L,9590,202110070979,962638,2021-12-13
